Variable,Value
bat_e_1993,0.0
bat_e_1994,0.0
bat_e_1995,0.0
bat_e_1996,0.0
bat_e_1997,0.0
bat_e_1998,0.0
bat_e_1999,0.0
bat_e_2,0.0
bat_e_20,0.0
bat_e_200,0.0
bat_e_2000,0.0
bat_e_2001,0.0
bat_e_2002,0.0
bat_e_2003,0.0
bat_e_2004,0.0
bat_e_2005,0.0
bat_e_2006,0.0
bat_e_2007,0.0
bat_e_2008,0.0
bat_e_2009,0.0
bat_e_201,0.0
bat_e_2010,0.0
bat_e_2011,0.0
bat_e_2012,0.0
bat_e_2013,0.0
bat_e_2014,0.0
bat_e_2015,0.0
bat_e_2016,0.0
bat_e_2017,0.0
bat_e_2018,0.0
bat_e_2019,0.0
bat_e_202,0.0
bat_e_2020,0.0
bat_e_2021,0.0
bat_e_2022,0.0
bat_e_2023,0.0
bat_e_2024,0.0
bat_e_2025,0.0
bat_e_2026,0.0
bat_e_2027,0.0
bat_e_2028,0.0
bat_e_2029,0.0
bat_e_203,0.0
bat_e_2030,0.0
bat_e_2031,0.0
bat_e_2032,0.0
bat_e_2033,0.0
bat_e_2034,0.0
bat_e_2035,0.0
bat_e_2036,0.0
bat_e_2037,0.0
bat_e_2038,0.0
bat_e_2039,0.0
bat_e_204,0.0
bat_e_2040,0.0
